,암호화요양기호,요양기관명,종별코드,종별코드명,시도코드,시도코드명,시군구코드,시군구코드명,읍면동,우편번호,주소,전화번호,병원홈페이지,개설일자,총의사수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수,좌표(X),좌표(Y)
7984,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQ3IyQ4MiQzNjE4MzIjODEjJDEjJDYjJDgz,나눔의원,31,의원,110000,서울,110024,강북구,,1234,"서울특별시 강북구 오패산로30길 30, 204,205,206,209,210,211,212호 (미아동, 경남아너스빌)",986-8575,,20090102,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0362457,37.6159351
8008,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ5MiQ0NjEwMDIjODEjJDEjJDIjJDgz,나래마취통증의학과의원,31,의원,110000,서울,110022,노원구,상계동,1620,"서울특별시 노원구 동일로 1549, 302호 (상계동, 양성빌딩)",02-935-9093,,20060511,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.0569079,37.6667227
8018,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQ0NjE0ODEjNDEjJDEjJDQjJDgz,나루정신건강의학과의원,31,의원,110000,서울,110008,동작구,,6922,"서울특별시 동작구 노량진로 140, 메가스터디타워 113호 (노량진동)",02-817-8275,,20220427,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.9415901,37.5126442
8024,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzMxIyQyIyQzIyQwMCQzNjE0ODEjNjEjJDEjJDgjJDgz,나무의원,31,의원,110000,서울,110018,송파구,,5639,"서울특별시 송파구 마천로 29, 5층 (방이동)",02-422-7799,,20170619,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.1242565,37.5095346
8071,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzIxIyQxIyQ5IyQ5OSQyNjE0ODEjNjEjJDEjJDgjJDgz,나은마취통증의학과의원,31,의원,110000,서울,110003,강서구,화곡동,7727,"서울특별시 강서구 화곡로 176-4, 4층 (화곡동)",02-2605-8575,,20090904,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.8411471,37.5416385
8073,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzUxIyQxIyQxIyQ2MiQ0NjEwMDIjNDEjJDEjJDgjJDgz,나은미래신경외과의원,31,의원,110000,서울,110009,마포구,,4013,"서울특별시 마포구 월드컵로 73, 3층 (망원동)",02-322-7577,,20190218,3,0,0,0,3,0,0,0,0,0,0,0,0,0,126.9103653,37.555424
8086,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ2MiQ0NjE0ODEjODEjJDEjJDYjJDgz,나음정신건강의학과의원,31,의원,110000,서울,110019,중랑구,,2228,"서울특별시 중랑구 사가정로 389, (면목동)",02-491-8882,,20150223,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0880541,37.580948
8089,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQ2MiQ0NjE0ODEjNzEjJDEjJDgjJDgz,나음피부과의원,31,의원,110000,서울,110017,중구,남대문로5가,4512,"서울특별시 중구 세종대로 13, 화남빌딩 5,6층 (남대문로5가)",02-6959-7533,,20150415,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.9731076,37.558326
8092,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQxIyQ5IyQ5MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,나의미래피부과의원,31,의원,110000,서울,110013,영등포구,,7327,"서울특별시 영등포구 국제금융로2길 7, 3층 (여의도동, 두레빌딩)",02-761-1010,,20110708,3,0,0,0,3,0,0,0,0,0,0,0,0,0,126.9268443,37.5246532
8095,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQxIyQ3IyQ4OSQyNjE0ODEjODEjJDEjJDYjJDgz,나이비인후과의원,31,의원,110000,서울,110015,은평구,불광동,3358,"서울특별시 은평구 통일로 738, (불광동)",02-3157-3008,,20050429,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9294218,37.6114242
8099,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQ5MiQzNjEwMDIjNDEjJDEjJDgjJDgz,나이스피부과의원,31,의원,110000,서울,110017,중구,,4597,"서울특별시 중구 다산로 96, 4층 (신당동)",02-2232-2502,,20020719,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0092105,37.5527439
8103,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzMxIyQxIyQ3IyQ3OSQyNjE4MzIjNjEjJDEjJDQjJDgz,나인비뇨기과의원,31,의원,110000,서울,110001,강남구,,6169,"서울특별시 강남구 테헤란로87길 17, 마젤란 21 아스테리움 3층 302호 (삼성동)",02-553-9030,,20170420,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0582844,37.5087249
8140,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQ4OSQyNjE4MzIjNjEjJDEjJDQjJDgz,날아라정형외과의원,31,의원,110000,서울,110001,강남구,,6052,"서울특별시 강남구 학동로 207, 4,5,6층 (논현동)",02-567-7765,,20111011,5,0,0,0,5,0,0,0,0,0,0,0,0,0,127.0316252,37.5145557
8143,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ2MiQzNjE0ODEjNjEjJDEjJDAjJDgz,남광우내과의원,31,의원,110000,서울,110005,구로구,,8267,"서울특별시 구로구 경인로 219, (오류동)",02-2617-1025,,19910502,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.84506,37.4968424
8148,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzIxIyQxIyQ5IyQwMyQ0NjEwMDIjNDEjJDEjJDgjJDgz,남기헌정형외과의원,31,의원,110000,서울,110010,서대문구,,3615,"서울특별시 서대문구 세검정로1길 5, 1,2,3,4,5층 (홍은동)",02-396-5595,,20020805,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9421781,37.5921134
8155,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzUxIyQxIyQ1IyQ5OSQyNjE0ODEjODEjJDEjJDYjJDgz,남대문명동정형외과의원,31,의원,110000,서울,110017,중구,남창동,4635,"서울특별시 중구 퇴계로 36, (남창동, 삼선빌딩 2층)",02-779-8176,,20150216,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.9770319,37.5573006
8156,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzMxIyQxIyQzIyQxMyQzNjE4MzIjODEjJDEjJDYjJDgz,남대문외과의원,31,의원,110000,서울,110017,중구,,4529,"서울특별시 중구 퇴계로 61, 금오빌딩 9층 (남창동)",02-779-2358,,20080827,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9789281,37.5593755
8169,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzQxIyQxIyQ3IyQ4OSQzNjE4MzIjODEjJDEjJDYjJDgz,남문내과의원,31,의원,110000,서울,110025,금천구,독산동,8546,"서울특별시 금천구 독산로85길 13, (독산동)",02-855-8688,,20010813,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9023974,37.4723148
8198,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzIxIyQxIyQ1IyQxMyQzNjEyMjIjNTEjJDEjJDYjJDgz,남서울정형외과의원,31,의원,110000,서울,110001,강남구,,6343,"서울특별시 강남구 일원로 33, 금성빌딩 2층 (일원동)",02-445-8275,,20010226,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0810631,37.4909192
8214,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzQxIyQxIyQ3IyQ4MiQyNjEwMDIjNTEjJDEjJDYjJDgz,남안과의원,31,의원,110000,서울,110023,광진구,군자동,4997,"서울특별시 광진구 천호대로 548, 3층 (군자동, 중앙빌딩)",02-467-0659,,19850219,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0790015,37.5568276
8248,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQzIyQxMyQyNjEyMjIjNzEjJDEjJDgjJDgz,남장현산부인과의원,31,의원,110000,서울,110003,강서구,화곡동,7761,"서울특별시 강서구 가로공원로 178, (화곡동)",02-2695-1001,,19980209,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.8356782,37.5366647
8250,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ3OSQyNjEyMjIjODEjJDEjJDIjJDgz,남재현프렌닥터내과의원,31,의원,110000,서울,110021,서초구,,6736,"서울특별시 서초구 남부순환로350길 36, 3층,4층 (양재동, 프렌닥터빌딩)",02-556-0365,,20010507,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0362334,37.4833001
8252,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ5IyQ5OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,남정형외과의원,31,의원,110000,서울,110019,중랑구,,2182,"서울특별시 중랑구 용마산로 494, 2,3층 (망우동)",02-2207-8275,,20051222,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.100249,37.5949291
8280,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQzIyQwMyQ0NjE0ODEjNjEjJDEjJDgjJDgz,내곡소아청소년과의원,31,의원,110000,서울,110021,서초구,신원동,6802,"서울특별시 서초구 청계산로 189, (신원동, 내곡드림시티2, 306호)",02-572-7582,,20150617,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0553844,37.4483161
8284,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzExIyQxIyQ3IyQwMyQyNjEyMjIjNDEjJDEjJDgjJDgz,내당최내과의원,31,의원,110000,서울,110003,강서구,화곡동,7720,"서울특별시 강서구 강서로 143, 2층 (화곡동, 삼화빌딩)",02-2693-8681,,20030421,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.8415729,37.5396022
8296,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzUxIyQxIyQ1IyQ4MiQzNjE4MzIjODEjJDEjJDIjJDgz,내안애내과의원,31,의원,110000,서울,110009,마포구,,4168,"서울특별시 마포구 마포대로 68, 604~607호 (도화동, 마포아크로타워)",02-712-4800,,20020103,5,0,0,0,5,0,0,0,0,0,0,0,0,0,126.94898,37.5413405
8304,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ3OSQyNjE4MzIjNTEjJDEjJDYjJDgz,내일내과의원,31,의원,110000,서울,110024,강북구,,1194,"서울특별시 강북구 솔샘로 254, (미아동, 삼양아케이트)",02-945-5757,,20110222,3,0,0,0,3,0,0,0,0,0,0,0,0,0,127.0207598,37.6193358
8310,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQ5MiQzNjE0ODEjNDEjJDEjJDQjJDgz,내일정신건강의학과의원,31,의원,110000,서울,110019,중랑구,,2121,"서울특별시 중랑구 망우로 214, 우도빌딩 5층 (상봉동)",02-435-2580,,20220816,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0766509,37.593757
8325,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzQxIyQxIyQ3IyQ5MiQzNjEyMjIjNDEjJDEjJDQjJDgz,네오유여성비뇨기과의원,31,의원,110000,서울,110001,강남구,,6123,"서울특별시 강남구 강남대로 446, 한웰빌딩 5층일부 (역삼동)",02-555-2125,,20060626,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0259642,37.5024003
8339,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzMxIyQxIyQzIyQ2MiQzNjEwMDIjNDEjJDEjJDgjJDgz,노경민정형외과의원,31,의원,110000,서울,110002,강동구,암사동,5264,"서울특별시 강동구 올림픽로 782, 4,5층 (암사동)",02-428-2333,,20010519,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.128145,37.5508761
8344,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzQxIyQxIyQ3IyQ4MiQyNjE0ODEjNDEjJDEjJDgjJDgz,노내과의원,31,의원,110000,서울,110015,은평구,대조동,3385,"서울특별시 은평구 통일로 839, (대조동)",02-389-5050,,19940420,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.921664,37.618129
8354,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzIxIyQxIyQ1IyQ2MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,노명복정형외과의원,31,의원,110000,서울,110023,광진구,중곡동,4914,"서울특별시 광진구 긴고랑로 32, 지하1, 1, 3층 (중곡동)",02-464-8111,,19870306,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.079813,37.56296
8378,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQxIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,노블스여성의원,31,의원,110000,서울,110021,서초구,,6615,"서울특별시 서초구 서초대로77길 3, 아라타워 14층 (서초동)",02-554-3603,,20210507,1,1,0,0,0,0,0,0,0,0,0,0,0,0,127.0264971,37.4980499
8381,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzMxIyQxIyQzIyQ5MiQyNjEwMDIjNTEjJDEjJDIjJDgz,노블와이성형외과의원,31,의원,110000,서울,110001,강남구,,6032,"서울특별시 강남구 논현로 823, B&S빌딩 5층 (신사동)",02-3446-7300,,20111118,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0279673,37.521937
8404,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ2MiQzNjEwMDIjNjEjJDEjJDQjJDgz,노상훈성형외과의원,31,의원,110000,서울,110001,강남구,,6038,"서울특별시 강남구 도산대로 110, 케이비엘 센터 7층 (논현동)",0507-1417-3639,,20170717,4,0,0,0,4,0,0,0,0,0,0,0,0,0,127.0210472,37.5162749
8416,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ4OSQzNjE0ODEjNDEjJDEjJDgjJDgz,노영래소아청소년과의원,31,의원,110000,서울,110006,도봉구,창동,1417,"서울특별시 도봉구 노해로70길 54, 206호 (창동, 주공아파트19단지종합상가)",02-906-7502,,20050401,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0509741,37.6499129
8423,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzQxIyQyIyQ3IyQwMCQzNjE0ODEjNTEjJDEjJDIjJDgz,노원마디본의원,31,의원,110000,서울,110022,노원구,,1751,"서울특별시 노원구 동일로 1392, 한일빌딩 4층 (상계동)",02-930-8275,,20201209,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0613426,37.6530591
8424,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQxMyQzNjE0ODEjODEjJDEjJDYjJDgz,노원방사선과의원,31,의원,110000,서울,110022,노원구,상계동,1762,"서울특별시 노원구 동일로 1401, 4층 (상계동)",02-952-8733,,19990102,3,0,0,0,3,0,0,0,0,0,0,0,0,0,127.0604045,37.6535824
8425,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQyIyQ3IyQwMCQzNjE4MzIjNDEjJDEjJDgjJDgz,노원백비뇨기과의원,31,의원,110000,서울,110022,노원구,,1695,"서울특별시 노원구 노해로 501, 501,602호 (상계동, 노원빌딩)",02-931-6363,,20050503,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0635339,37.655226
8434,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzIxIyQxIyQ5IyQ2MiQzNjEyMjIjNDEjJDEjJDgjJDgz,노원신경정신과의원,31,의원,110000,서울,110022,노원구,상계동,1762,"서울특별시 노원구 동일로 1393, 305호 (상계동, 일신프라자)",02-933-5151,,19890328,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0605764,37.6529519
8437,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQ3OSQyNjEyMjIjNDEjJDEjJDgjJDgz,노원이서진내과의원,31,의원,110000,서울,110022,노원구,,1885,"서울특별시 노원구 월계로 334, 2층 203,204,205호 (월계동, 그랑디오피스텔)",942-8275,,20030111,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0576448,37.6289136
8532,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkMzgxNzAyIzExIyQxIyQzIyQxMyQyNjE0ODEjNTEjJDEjJDIjJDgz,누가의원,31,의원,110000,서울,110009,마포구,,4057,"서울특별시 마포구 신촌로 84, (노고산동)",02-337-7985,,19880409,1,1,0,0,0,0,0,0,0,0,0,0,0,0,126.9349628,37.555557
8546,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ4MiQ0NjEwMDIjNDEjJDEjJDQjJDgz,누가이비인후과의원,31,의원,110000,서울,110012,성북구,,2737,"서울특별시 성북구 오패산로 69, 4층 (하월곡동)",02-941-7250,,20090303,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0360252,37.6082166
8551,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMzUxIzExIyQxIyQ3IyQ5MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,누가정형외과의원,31,의원,110000,서울,110018,송파구,,5782,"서울특별시 송파구 오금로46길 33, (가락동)",02-431-3233,,20021230,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1342459,37.4947171
8607,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzUxIyQxIyQ1IyQwMyQzNjEwMDIjODEjJDEjJDIjJDgz,눈에미소의원,31,의원,110000,서울,110003,강서구,방화동,7604,"서울특별시 강서구 양천로 72, 3층 (방화동)",02-2661-0606,,19950630,1,1,0,0,0,0,0,0,0,0,0,0,0,0,126.8117923,37.5732172
8618,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzExIyQxIyQzIyQ4MiQzNjE4MzIjNDEjJDEjJDgjJDgz,뉴관악연세의원,31,의원,110000,서울,110004,관악구,,8838,"서울특별시 관악구 신림로 158, 영광빌딩 3층 (신림동)",02-873-4526,,20061120,1,1,0,0,0,0,0,0,0,0,0,0,0,0,126.9338947,37.4729331
8627,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzExIyQxIyQzIyQ5MiQyNjEwMDIjNjEjJDEjJDQjJDgz,뉴본정형외과의원,31,의원,110000,서울,110020,양천구,신월동,8028,"서울특별시 양천구 중앙로 303, (신월동)",02-2692-9055,,20081215,3,0,0,0,3,0,0,0,0,0,0,0,0,0,126.8509756,37.5231293
8632,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQwMyQyNjE0ODEjODEjJDEjJDIjJDgz,뉴서울의원,31,의원,110000,서울,110018,송파구,,5751,"서울특별시 송파구 거마로22길 49, 2층 (마천동, 범양빌딩)",02-2043-3241,,20020709,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1520044,37.4968936
8636,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxMzUxIzUxIyQxIyQ1IyQ3MiQzNjE4MzIjNzEjJDEjJDgjJDgz,뉴수도정형외과의원,31,의원,110000,서울,110016,종로구,숭인동,3113,"서울특별시 종로구 지봉로 50, 3~5층 (숭인동)",02-741-2277,,20050416,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0159516,37.5745114
8658,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzUxIyQxIyQ1IyQ3OSQzNjEyMjIjODEjJDEjJDYjJDgz,뉴타운드림유비뇨기과의원,31,의원,110000,서울,110015,은평구,,3311,"서울특별시 은평구 진관2로 12, 206호 (진관동, 메이플카운티2차)",02-6952-0188,,20170119,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.918551,37.6342576
8672,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxOTYxIzIxIyQyIyQ5IyQwMCQyNjE4MzIjNTEjJDEjJDYjJDgz,늘건강내과이비인후과의원,31,의원,110000,서울,110008,동작구,,6956,"서울특별시 동작구 상도로 174, 2,3층 (상도동)",02-822-3375,,20110829,3,0,0,0,3,0,0,0,0,0,0,0,0,0,126.9384205,37.504266
8681,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzIxIyQxIyQ5IyQwMyQyNjE4MzIjNDEjJDEjJDgjJDgz,늘벗정신건강의학과의원,31,의원,110000,서울,110005,구로구,,8208,"서울특별시 구로구 경인로 661, 신도림1차푸르지오 233,234,235호 (신도림동)",02-3439-8818,,20160303,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.8877039,37.5095178
8740,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzExIyQxIyQ3IyQwMyQ0NjEwMDIjNjEjJDEjJDgjJDgz,늘편한의원,31,의원,110000,서울,110006,도봉구,,1411,"서울특별시 도봉구 노해로69길 97, 313호 (창동, 동아청솔아파트)",02-991-8703,,20000512,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0493611,37.6568344
8791,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxMTkxIzMxIyQxIyQ3IyQ3MiQyNjE0ODEjODEjJDEjJDIjJDgz,늘푸른의원,31,의원,110000,서울,110019,중랑구,,2018,"서울특별시 중랑구 공릉로 77, (묵동)",02-975-7550,,20000522,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0790224,37.6172778
8816,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ5MiQzNjEyMjIjNjEjJDEjJDgjJDgz,늘푸른이비인후과의원,31,의원,110000,서울,110021,서초구,,6665,"서울특별시 서초구 방배로 88, 2층 202호 (방배동)",597-4024,,19990830,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9973977,37.482364
8823,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxMTkxIzIxIyQxIyQ1IyQ5MiQzNjEwMDIjNjEjJDEjJDgjJDgz,늘푸른정형외과의원,31,의원,110000,서울,110002,강동구,,5306,"서울특별시 강동구 양재대로 1601, 2-4층 (천호동)",02-488-5100,,20051104,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.1433331,37.5485821
8836,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQ3MiQyNjEyMjIjNTEjJDEjJDIjJDgz,니오베의원,31,의원,110000,서울,110001,강남구,,6153,"서울특별시 강남구 봉은사로 448, 2층 (삼성동, 삼성동지웰)",3288-9697,,20060317,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0488526,37.5114614
8839,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNDgxNzAyIzExIyQxIyQ3IyQ5MiQyNjEyMjIjNjEjJDEjJDgjJDgz,다나가정의원,31,의원,110000,서울,110003,강서구,화곡동,7721,"서울특별시 강서구 화곡로 196, (화곡동, 평화약국)",02-2601-1953,,20150828,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.8430055,37.5430133
8892,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ3OSQyNjE0ODEjODEjJDEjJDIjJDgz,다나은신경외과의원,31,의원,110000,서울,110003,강서구,,7803,"서울특별시 강서구 강서로 391, 2,4,5,6층 (마곡동, 문영비즈웍스)",02-3662-7588,,20170406,2,0,0,0,2,0,0,0,0,0,0,0,0,0,126.8384276,37.5605449
8902,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQ3IyQ3OSQ0NjE0ODEjNDEjJDEjJDgjJDgz,다나의원,31,의원,110000,서울,110014,용산구,한남동,4419,"서울특별시 용산구 독서당로 67, (한남동, 이춘근치과의원)",02-796-2111,,20070402,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0081571,37.5338749
8917,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxOTYxIzUxIyQxIyQ1IyQ3MiQyNjE4MzIjODEjJDEjJDIjJDgz,다나이비인후과의원,31,의원,110000,서울,110003,강서구,방화동,7516,"서울특별시 강서구 금낭화로 91-2, 402호 (방화동, 대승프라자)",02-2664-7487,,20050125,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.81109,37.573658
8919,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNDEjJDEjJDgjJDgz,다나이비인후과의원,31,의원,110000,서울,110025,금천구,,8510,"서울특별시 금천구 벚꽃로 298, 221호 (가산동, 대륭포스트타워6차)",02-852-0125,,20170508,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.8837813,37.4814002
8931,JDQ4MTg4MSM1MSMkMiMkNCMkMDAkMzgxNzAyIzIxIyQxIyQ1IyQ5MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,다남재활의학과의원,31,의원,110000,서울,110023,광진구,,4919,"서울특별시 광진구 천호대로 527, 4,5층 (중곡동)",02-467-5728,,20070827,2,0,0,0,2,0,0,0,0,0,0,0,0,0,127.0773321,37.5584028
8952,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQyIyQxIyQwMCQzNjEwMDIjNTEjJDEjJDYjJDgz,다미신경정신과의원,31,의원,110000,서울,110018,송파구,,5558,"서울특별시 송파구 올림픽로 116, 4층 (잠실동)",02-419-0152,,20030816,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0834983,37.5113865
8953,JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzMxIyQxIyQ3IyQxMyQzNjEwMDIjNTEjJDEjJDIjJDgz,다미아노의원,31,의원,110000,서울,110001,강남구,,6302,"서울특별시 강남구 논현로28길 4, 2층 (도곡동)",02-501-1066,,20220907,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0434834,37.4821395
8957,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzQxIyQxIyQ3IyQ5OSQzNjEyMjIjNzEjJDEjJDgjJDgz,다미의원,31,의원,110000,서울,110008,동작구,사당동,7004,"서울특별시 동작구 사당로 219, 3층 (사당동)",02-532-1332,,20070605,1,0,0,0,1,0,0,0,0,0,0,0,0,0,126.9726736,37.4841688
9048,JDQ4MTg4MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzMxIyQxIyQ3IyQ4MiQzNjE0ODEjNTEjJDEjJDIjJDgz,다솜연세가정의학과의원,31,의원,110000,서울,110012,성북구,,2781,"서울특별시 성북구 한천로78길 53, 2층 (석관동, 다솜빌딩)",02-968-5888,,19990402,1,0,0,0,1,0,0,0,0,0,0,0,0,0,127.0646584,37.6128346
